id,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
1,Air_India,AI-765,Kolkata,Evening,one,Night,Delhi,Business,28.25,2,37635.78
2,Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Business,13.83,34,43773.0
3,Air_India,AI-570,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Business,2.0,30,26581.69
4,AirAsia,I5-974,Hyderabad,Night,one,Late_Night,Delhi,Economy,5.17,26,5484.81
5,Air_India,AI-770,Kolkata,Night,one,Afternoon,Mumbai,Economy,16.33,35,5431.78
6,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Economy,14.25,40,4833.65
7,Indigo,6E-6051,Mumbai,Evening,one,Night,Chennai,Economy,5.08,20,4093.76
8,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Morning,Kolkata,Economy,26.5,9,14880.28
9,Indigo,6E-7223,Bangalore,Afternoon,one,Evening,Hyderabad,Economy,4.58,20,3977.04
10,Vistara,UK-852,Mumbai,Afternoon,two_or_more,Night,Hyderabad,Economy,10.75,1,12486.17
11,GO_FIRST,G8-7537,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.17,40,5651.06
12,Vistara,UK-830,Hyderabad,Morning,one,Evening,Mumbai,Economy,6.42,48,4246.93
13,Air_India,AI-804,Bangalore,Early_Morning,zero,Morning,Delhi,Economy,2.75,32,3920.42
14,Vistara,UK-866,Bangalore,Night,one,Evening,Kolkata,Business,22.25,41,59602.25
15,Air_India,AI-698,Hyderabad,Night,one,Morning,Delhi,Business,10.92,27,31544.23
16,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,Business,12.75,29,54724.88
17,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,Business,17.33,8,53875.84
18,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Economy,14.92,46,5481.68
19,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Kolkata,Business,15.75,5,60577.14
20,Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,10.17,32,4886.54
21,Vistara,UK-659,Hyderabad,Morning,one,Morning,Mumbai,Economy,24.5,29,9265.38
22,Vistara,UK-708,Kolkata,Night,one,Night,Bangalore,Business,24.0,37,55791.29
23,Air_India,AI-624,Delhi,Evening,one,Morning,Chennai,Business,15.92,11,41981.73
24,Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,12.67,49,4923.33
25,GO_FIRST,G8-511,Mumbai,Early_Morning,one,Afternoon,Bangalore,Economy,7.67,21,5503.46
26,AirAsia,I5-2991,Kolkata,Night,one,Morning,Hyderabad,Economy,11.17,40,5460.33
27,Vistara,UK-824,Chennai,Night,two_or_more,Afternoon,Hyderabad,Economy,15.75,41,7132.73
28,Vistara,UK-894,Hyderabad,Evening,one,Night,Delhi,Economy,26.0,21,5196.53
29,Indigo,6E-6684,Hyderabad,Night,one,Early_Morning,Kolkata,Economy,7.5,45,4590.64
30,Vistara,UK-808,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,6.0,22,4467.58
31,GO_FIRST,G8-2508,Mumbai,Night,one,Morning,Hyderabad,Economy,9.75,15,7036.06
32,Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,10.0,35,52276.48
33,Air_India,AI-538,Chennai,Night,one,Afternoon,Bangalore,Business,16.17,38,59296.78
34,Vistara,UK-823,Mumbai,Evening,one,Night,Delhi,Business,6.08,10,48685.84
35,Indigo,6E-139,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,6.75,5,9207.16
36,GO_FIRST,G8-7537,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.25,41,5670.31
37,Vistara,UK-821,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.75,37,5439.16
38,Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,Business,10.42,34,47465.36
39,Indigo,6E-606,Chennai,Evening,zero,Evening,Kolkata,Economy,2.08,14,5684.04
40,Vistara,UK-859,Delhi,Morning,zero,Afternoon,Hyderabad,Economy,2.17,18,2165.18
41,Vistara,UK-811,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.92,38,8180.15
42,Vistara,UK-940,Mumbai,Evening,one,Morning,Kolkata,Business,13.83,9,58206.78
43,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,7.08,47,4230.77
44,Indigo,6E-285,Hyderabad,Evening,one,Night,Chennai,Economy,4.08,20,3736.21
45,Air_India,AI-402,Kolkata,Morning,one,Evening,Mumbai,Economy,9.58,5,13275.051000000001
46,AirAsia,I5-1426,Bangalore,Afternoon,two_or_more,Late_Night,Delhi,Economy,12.0,31,6245.65
47,GO_FIRST,G8-227,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,10.58,25,6193.58
48,Vistara,UK-845,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,8.17,15,10467.8
49,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.83,9,52781.03
50,Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Economy,15.58,49,4966.95
51,Vistara,UK-874,Hyderabad,Morning,one,Evening,Bangalore,Economy,10.75,28,4992.76
52,Indigo,6E-866,Hyderabad,Afternoon,one,Night,Delhi,Economy,8.25,45,3332.13
53,Vistara,UK-814,Bangalore,Night,one,Early_Morning,Mumbai,Economy,10.75,27,4368.56
54,Air_India,AI-9547,Bangalore,Evening,one,Morning,Mumbai,Economy,13.17,47,4573.54
55,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Evening,Hyderabad,Economy,11.58,29,6474.71
56,AirAsia,I5-767,Mumbai,Early_Morning,one,Night,Bangalore,Economy,14.42,41,5099.59
57,Indigo,6E-847,Chennai,Evening,one,Night,Delhi,Economy,5.67,38,3800.09
58,Vistara,UK-876,Hyderabad,Night,one,Evening,Bangalore,Business,20.17,37,54160.4
59,Indigo,6E-379,Bangalore,Morning,one,Afternoon,Mumbai,Economy,5.08,41,3094.66
60,Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Business,13.08,35,58196.94
61,Indigo,6E-5002,Chennai,Morning,one,Evening,Kolkata,Economy,8.5,10,11404.72
62,Air_India,AI-526,Kolkata,Evening,one,Afternoon,Delhi,Business,18.83,13,32661.06
63,Indigo,6E-893,Kolkata,Morning,one,Evening,Delhi,Economy,7.0,13,7653.29
64,Vistara,UK-944,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,5.25,9,14491.4
65,Air_India,AI-770,Kolkata,Night,one,Evening,Chennai,Business,22.5,37,56226.93
